model,L_um,Vds,Vbs,gm_id,Vgs,Id_W_A_per_m,ft_Hz,gain_V_V
nch_lvt_mac,0.0300,0.800,0.000,20,0.2236,1.077179e+01,7.666988e+10,11.44
nch_lvt_mac,0.0300,0.800,-0.200,5,0.5363,3.059426e+02,4.353322e+11,10.09
nch_lvt_mac,0.0300,0.800,-0.200,8,0.4300,1.565402e+02,3.728720e+11,11.05
nch_lvt_mac,0.0300,0.800,-0.200,10,0.3880,1.075270e+02,3.288882e+11,11.54
nch_lvt_mac,0.0300,0.800,-0.200,12,0.3550,7.484907e+01,2.820309e+11,11.90
nch_lvt_mac,0.0300,0.800,-0.200,15,0.3121,4.200689e+01,2.058493e+11,12.17
nch_lvt_mac,0.0300,0.800,-0.200,18,0.2687,2.050276e+01,1.265024e+11,12.08
nch_lvt_mac,0.0300,0.800,-0.200,20,0.2347,1.073743e+01,7.678020e+10,11.82
nch_lvt_mac,0.0300,0.900,0.000,5,0.5171,3.083809e+02,4.418765e+11,10.35
nch_lvt_mac,0.0300,0.900,0.000,8,0.4113,1.582713e+02,3.788726e+11,11.18
nch_lvt_mac,0.0300,0.900,0.000,10,0.3693,1.086447e+02,3.338593e+11,11.60
nch_lvt_mac,0.0300,0.900,0.000,12,0.3360,7.542568e+01,2.852543e+11,11.88
nch_lvt_mac,0.0300,0.900,0.000,15,0.2922,4.180868e+01,2.056296e+11,12.04
nch_lvt_mac,0.0300,0.900,0.000,18,0.2475,1.996942e+01,1.236475e+11,11.89
nch_lvt_mac,0.0300,0.900,0.000,20,0.2125,1.028086e+01,7.372930e+10,11.63
nch_lvt_mac,0.0300,0.900,-0.200,5,0.5282,3.083826e+02,4.415914e+11,10.53
nch_lvt_mac,0.0300,0.900,-0.200,8,0.4230,1.588276e+02,3.801045e+11,11.47
nch_lvt_mac,0.0300,0.900,-0.200,10,0.3811,1.091774e+02,3.355583e+11,11.95
nch_lvt_mac,0.0300,0.900,-0.200,12,0.3479,7.589326e+01,2.871793e+11,12.29
nch_lvt_mac,0.0300,0.900,-0.200,15,0.3042,4.211535e+01,2.074841e+11,12.50
nch_lvt_mac,0.0300,0.900,-0.200,18,0.2593,2.005016e+01,1.245311e+11,12.34
nch_lvt_mac,0.0300,0.900,-0.200,20,0.2237,1.018530e+01,7.341475e+10,12.02
nch_lvt_mac,0.0600,0.100,0.000,5,0.5861,9.524928e+01,5.759538e+10,0.71
nch_lvt_mac,0.0600,0.100,0.000,8,0.5000,5.514205e+01,5.810597e+10,1.34
nch_lvt_mac,0.0600,0.100,0.000,10,0.4621,3.927881e+01,5.538061e+10,1.90
nch_lvt_mac,0.0600,0.100,0.000,12,0.4324,2.836847e+01,5.173152e+10,2.58
nch_lvt_mac,0.0600,0.100,0.000,15,0.3970,1.762821e+01,4.514121e+10,3.81
nch_lvt_mac,0.0600,0.100,0.000,18,0.3674,1.083538e+01,3.721680e+10,5.20
nch_lvt_mac,0.0600,0.100,0.000,20,0.3489,7.628169e+00,3.124907e+10,6.15
nch_lvt_mac,0.0600,0.100,0.000,25,0.2994,2.496532e+00,1.532513e+10,8.42
nch_lvt_mac,0.0600,0.100,-0.200,5,0.6018,9.496120e+01,5.754202e+10,0.71
nch_lvt_mac,0.0600,0.100,-0.200,8,0.5158,5.499181e+01,5.807168e+10,1.34
nch_lvt_mac,0.0600,0.100,-0.200,10,0.4777,3.908037e+01,5.526217e+10,1.91
nch_lvt_mac,0.0600,0.100,-0.200,12,0.4476,2.812284e+01,5.149099e+10,2.59
nch_lvt_mac,0.0600,0.100,-0.200,15,0.4118,1.737624e+01,4.474676e+10,3.82
nch_lvt_mac,0.0600,0.100,-0.200,18,0.3820,1.064468e+01,3.678648e+10,5.19
nch_lvt_mac,0.0600,0.100,-0.200,20,0.3636,7.507924e+00,3.092001e+10,6.12
nch_lvt_mac,0.0600,0.100,-0.200,25,0.3151,2.510614e+00,1.548018e+10,8.30
nch_lvt_mac,0.0600,0.200,0.000,5,0.6199,1.693698e+02,1.067612e+11,2.25
nch_lvt_mac,0.0600,0.200,0.000,8,0.5260,9.303049e+01,1.082337e+11,5.00
nch_lvt_mac,0.0600,0.200,0.000,10,0.4806,6.198375e+01,1.005112e+11,6.98
nch_lvt_mac,0.0600,0.200,0.000,12,0.4444,4.165261e+01,8.871857e+10,8.70
nch_lvt_mac,0.0600,0.200,0.000,15,0.4025,2.375385e+01,6.958801e+10,10.79
nch_lvt_mac,0.0600,0.200,0.000,18,0.3695,1.379993e+01,5.226040e+10,12.50
nch_lvt_mac,0.0600,0.200,0.000,20,0.3497,9.467385e+00,4.176401e+10,13.49
nch_lvt_mac,0.0600,0.200,0.000,25,0.2979,2.947321e+00,1.868991e+10,15.49
nch_lvt_mac,0.0600,0.200,-0.200,5,0.6357,1.689925e+02,1.068310e+11,2.24
nch_lvt_mac,0.0600,0.200,-0.200,8,0.5417,9.275184e+01,1.082028e+11,4.95
nch_lvt_mac,0.0600,0.200,-0.200,10,0.4960,6.159054e+01,1.000410e+11,6.87
nch_lvt_mac,0.0600,0.200,-0.200,12,0.4593,4.117878e+01,8.776630e+10,8.51
nch_lvt_mac,0.0600,0.200,-0.200,15,0.4169,2.332632e+01,6.836459e+10,10.49
nch_lvt_mac,0.0600,0.200,-0.200,18,0.3837,1.351989e+01,5.124846e+10,12.10
nch_lvt_mac,0.0600,0.200,-0.200,20,0.3640,9.296969e+00,4.107044e+10,13.04
nch_lvt_mac,0.0600,0.200,-0.200,25,0.3133,2.961583e+00,1.884046e+10,14.92
nch_lvt_mac,0.0600,0.300,0.000,5,0.6391,2.152436e+02,1.481846e+11,5.52
nch_lvt_mac,0.0600,0.300,0.000,8,0.5301,1.074893e+02,1.435345e+11,9.81
nch_lvt_mac,0.0600,0.300,0.000,10,0.4807,6.907102e+01,1.242675e+11,11.75
nch_lvt_mac,0.0600,0.300,0.000,12,0.4427,4.559581e+01,1.037361e+11,13.24
nch_lvt_mac,0.0600,0.300,0.000,15,0.4001,2.571712e+01,7.807727e+10,15.07
nch_lvt_mac,0.0600,0.300,0.000,18,0.3669,1.490449e+01,5.766977e+10,16.61
nch_lvt_mac,0.0600,0.300,0.000,20,0.3469,1.019653e+01,4.575401e+10,17.50
nch_lvt_mac,0.0600,0.300,0.000,25,0.2947,3.139008e+00,2.017283e+10,19.24
nch_lvt_mac,0.0600,0.300,-0.200,5,0.6547,2.147464e+02,1.484250e+11,5.44
