model,L_um,Vds,Vbs,gm_id,Vgs,Id_W_A_per_m,ft_Hz,gain_V_V
nch_18_mac,0.1800,0.600,0.000,25,0.3998,2.804674e-01,1.662318e+09,29.76
nch_18_mac,0.1800,0.600,-0.300,5,0.8534,7.509899e+01,4.260539e+10,15.06
nch_18_mac,0.1800,0.600,-0.300,8,0.7250,3.334814e+01,3.242761e+10,20.28
nch_18_mac,0.1800,0.600,-0.300,10,0.6730,2.095103e+01,2.692005e+10,22.61
nch_18_mac,0.1800,0.600,-0.300,12,0.6339,1.365842e+01,2.234887e+10,24.42
nch_18_mac,0.1800,0.600,-0.300,15,0.5881,7.378911e+00,1.661254e+10,26.50
nch_18_mac,0.1800,0.600,-0.300,18,0.5487,3.855083e+00,1.159736e+10,27.93
nch_18_mac,0.1800,0.600,-0.300,20,0.5222,2.335245e+00,8.489040e+09,28.55
nch_18_mac,0.1800,0.600,-0.300,25,0.4346,3.195281e-01,1.916611e+09,29.29
nch_18_mac,0.1800,0.700,0.000,5,0.8221,7.707831e+01,4.383508e+10,17.86
nch_18_mac,0.1800,0.700,0.000,8,0.6934,3.416801e+01,3.336642e+10,23.23
nch_18_mac,0.1800,0.700,0.000,10,0.6416,2.151492e+01,2.777597e+10,25.62
nch_18_mac,0.1800,0.700,0.000,12,0.6028,1.406898e+01,2.311142e+10,27.48
nch_18_mac,0.1800,0.700,0.000,15,0.5570,7.611451e+00,1.716080e+10,29.56
nch_18_mac,0.1800,0.700,0.000,18,0.5171,3.945322e+00,1.186098e+10,30.92
nch_18_mac,0.1800,0.700,0.000,20,0.4900,2.347941e+00,8.549005e+09,31.45
nch_18_mac,0.1800,0.700,0.000,25,0.3967,2.829993e-01,1.689196e+09,31.98
nch_18_mac,0.1800,0.700,-0.300,5,0.8515,7.670634e+01,4.358533e+10,17.66
nch_18_mac,0.1800,0.700,-0.300,8,0.7227,3.395481e+01,3.314145e+10,22.85
nch_18_mac,0.1800,0.700,-0.300,10,0.6706,2.130466e+01,2.753432e+10,25.13
nch_18_mac,0.1800,0.700,-0.300,12,0.6315,1.388716e+01,2.288484e+10,26.90
nch_18_mac,0.1800,0.700,-0.300,15,0.5856,7.509830e+00,1.702976e+10,28.91
nch_18_mac,0.1800,0.700,-0.300,18,0.5460,3.914251e+00,1.187693e+10,30.25
nch_18_mac,0.1800,0.700,-0.300,20,0.5194,2.356207e+00,8.675210e+09,30.82
nch_18_mac,0.1800,0.700,-0.300,25,0.4316,3.206657e-01,1.944352e+09,31.43
nch_18_mac,0.1800,0.800,0.000,5,0.8200,7.832502e+01,4.466612e+10,20.28
nch_18_mac,0.1800,0.800,0.000,8,0.6910,3.465101e+01,3.401630e+10,25.62
nch_18_mac,0.1800,0.800,0.000,10,0.6393,2.181745e+01,2.834120e+10,27.95
nch_18_mac,0.1800,0.800,0.000,12,0.6005,1.425455e+01,2.359696e+10,29.77
nch_18_mac,0.1800,0.800,0.000,15,0.5547,7.717028e+00,1.752687e+10,31.79
nch_18_mac,0.1800,0.800,0.000,18,0.5146,3.988138e+00,1.209250e+10,33.07
nch_18_mac,0.1800,0.800,0.000,20,0.4872,2.369966e+00,8.698747e+09,33.55
nch_18_mac,0.1800,0.800,0.000,25,0.3938,2.839580e-01,1.706787e+09,33.98
nch_18_mac,0.1800,0.800,-0.300,5,0.8495,7.795288e+01,4.439596e+10,20.01
nch_18_mac,0.1800,0.800,-0.300,8,0.7202,3.442406e+01,3.377622e+10,25.15
nch_18_mac,0.1800,0.800,-0.300,10,0.6682,2.162246e+01,2.809592e+10,27.37
nch_18_mac,0.1800,0.800,-0.300,12,0.6291,1.408299e+01,2.337239e+10,29.09
nch_18_mac,0.1800,0.800,-0.300,15,0.5832,7.610860e+00,1.740242e+10,31.04
nch_18_mac,0.1800,0.800,-0.300,18,0.5434,3.957168e+00,1.212187e+10,32.32
nch_18_mac,0.1800,0.800,-0.300,20,0.5167,2.380430e+00,8.840381e+09,32.83
nch_18_mac,0.1800,0.800,-0.300,25,0.4286,3.215292e-01,1.966513e+09,33.36
nch_18_mac,0.1800,0.900,0.000,5,0.8180,7.937320e+01,4.540997e+10,22.47
nch_18_mac,0.1800,0.900,0.000,8,0.6888,3.506954e+01,3.459436e+10,27.75
nch_18_mac,0.1800,0.900,0.000,10,0.6371,2.209959e+01,2.884457e+10,30.04
nch_18_mac,0.1800,0.900,0.000,12,0.5983,1.443958e+01,2.403079e+10,31.81
nch_18_mac,0.1800,0.900,0.000,15,0.5524,7.799095e+00,1.784607e+10,33.78
nch_18_mac,0.1800,0.900,0.000,18,0.5121,4.018067e+00,1.229117e+10,35.00
nch_18_mac,0.1800,0.900,0.000,20,0.4846,2.384516e+00,8.825119e+09,35.44
nch_18_mac,0.1800,0.900,0.000,25,0.3910,2.835210e-01,1.716508e+09,35.79
nch_18_mac,0.1800,0.900,-0.300,5,0.8474,7.899135e+01,4.512257e+10,22.13
nch_18_mac,0.1800,0.900,-0.300,8,0.7179,3.485260e+01,3.435199e+10,27.19
nch_18_mac,0.1800,0.900,-0.300,10,0.6659,2.189325e+01,2.859795e+10,29.36
nch_18_mac,0.1800,0.900,-0.300,12,0.6268,1.426965e+01,2.381119e+10,31.05
nch_18_mac,0.1800,0.900,-0.300,15,0.5808,7.688114e+00,1.773017e+10,32.95
nch_18_mac,0.1800,0.900,-0.300,18,0.5409,3.986871e+00,1.233414e+10,34.17
nch_18_mac,0.1800,0.900,-0.300,20,0.5140,2.396842e+00,8.981416e+09,34.64
nch_18_mac,0.1800,0.900,-0.300,25,0.4257,3.227750e-01,1.985327e+09,35.09
nch_18_mac,0.1800,1.000,0.000,5,0.8159,8.024430e+01,4.607725e+10,24.47
nch_18_mac,0.1800,1.000,0.000,8,0.6866,3.544214e+01,3.509980e+10,29.67
nch_18_mac,0.1800,1.000,0.000,10,0.6349,2.233431e+01,2.928411e+10,31.90
nch_18_mac,0.1800,1.000,0.000,12,0.5961,1.460259e+01,2.441411e+10,33.65
nch_18_mac,0.1800,1.000,0.000,15,0.5501,7.861801e+00,1.812674e+10,35.58
nch_18_mac,0.1800,1.000,0.000,18,0.5097,4.039823e+00,1.246456e+10,36.74
nch_18_mac,0.1800,1.000,0.000,20,0.4820,2.392751e+00,8.933321e+09,37.15
nch_18_mac,0.1800,1.000,0.000,25,0.3883,2.835860e-01,1.725375e+09,37.44
